Time (s) Auto,Angle (rad) Run #2
42.6,20.19345653
42.62,20.21090982
42.64,20.2458164
42.66,20.28072298
42.68,20.29817627
42.7,20.33308285
42.72,20.35053614
42.74,20.38544272
42.76,20.4203493
42.78,20.43780259
42.8,20.47270917
42.82,20.50761575
42.84,20.54252233
42.86,20.55997562
42.88,20.5948822
42.9,20.62978878
42.92,20.66469536
42.94,20.68214865
42.96,20.71705523
42.98,20.75196181
43,20.78686839
43.02,20.80432168
43.04,20.83922826
43.06,20.87413484
43.08,20.90904142
43.1,20.943948
43.12,20.96140129
43.14,20.99630787
43.16,21.03121445
43.18,21.06612103
43.2,21.08357432
43.22,21.1184809
43.24,21.15338748
43.26,21.17084077
43.28,21.20574735
43.3,21.24065393
43.32,21.25810722
43.34,21.2930138
43.36,21.32792038
43.38,21.34537367
43.4,21.38028025
43.42,21.39773354
43.44,21.43264012
43.46,21.45009341
43.48,21.48499999
43.5,21.50245328
43.52,21.51990657
43.54,21.55481315
43.56,21.57226644
43.58,21.58971973
43.6,21.62462631
43.62,21.6420796
43.64,21.65953289
43.66,21.67698618
43.68,21.69443947
43.7,21.71189276
43.72,21.72934605
43.74,21.74679934
43.76,21.76425263
43.78,21.78170592
43.8,21.79915921
43.82,21.8166125
43.84,21.83406579
43.86,21.83406579
43.88,21.85151908
43.9,21.86897237
43.92,21.86897237
43.94,21.88642566
43.96,21.90387895
43.98,21.90387895
44,21.92133224
44.02,21.92133224
44.04,21.92133224
44.06,21.93878553
44.08,21.93878553
44.1,21.93878553
44.12,21.93878553
44.14,21.93878553
44.16,21.95623882
44.18,21.95623882
44.2,21.95623882
44.22,21.95623882
44.24,21.95623882
44.26,21.93878553
44.28,21.93878553
44.3,21.93878553
44.32,21.93878553
44.34,21.92133224
44.36,21.92133224
44.38,21.92133224
44.4,21.92133224
44.42,21.90387895
44.44,21.90387895
44.46,21.88642566
44.48,21.88642566
44.5,21.86897237
44.52,21.86897237
44.54,21.85151908
44.56,21.83406579
44.58,21.83406579
44.6,21.8166125
44.62,21.79915921
44.64,21.79915921
44.66,21.78170592
44.68,21.76425263
44.7,21.74679934
44.72,21.74679934
44.74,21.72934605
44.76,21.71189276
44.78,21.69443947
44.8,21.67698618
44.82,21.65953289
44.84,21.6420796
44.86,21.62462631
44.88,21.60717302
44.9,21.58971973
44.92,21.57226644
44.94,21.55481315
44.96,21.53735986
44.98,21.51990657
45,21.50245328
45.02,21.48499999
45.04,21.45009341
45.06,21.43264012
45.08,21.41518683
45.1,21.39773354
45.12,21.38028025
45.14,21.36282696
45.16,21.32792038
45.18,21.31046709
45.2,21.2930138
45.22,21.27556051
45.24,21.25810722
45.26,21.24065393
45.28,21.20574735
45.3,21.18829406
45.32,21.17084077
45.34,21.15338748
45.36,21.13593419
45.38,21.10102761
45.4,21.08357432
45.42,21.06612103
45.44,21.04866774
45.46,21.03121445
45.48,21.01376116
45.5,20.99630787
45.52,20.96140129
45.54,20.943948
45.56,20.92649471
45.58,20.90904142
45.6,20.89158813
45.62,20.87413484
45.64,20.85668155
45.66,20.83922826
45.68,20.82177497
45.7,20.80432168
45.72,20.78686839
45.74,20.7694151
45.76,20.75196181
45.78,20.73450852
45.8,20.71705523
45.82,20.69960194
45.84,20.69960194
45.86,20.68214865
45.88,20.66469536
45.9,20.64724207
45.92,20.62978878
45.94,20.62978878
45.96,20.61233549
45.98,20.5948822
46,20.57742891
46.02,20.57742891
46.04,20.55997562
46.06,20.55997562
46.08,20.54252233
46.1,20.52506904
46.12,20.52506904
46.14,20.52506904
46.16,20.50761575
46.18,20.50761575
46.2,20.49016246
46.22,20.49016246
46.24,20.49016246
46.26,20.47270917
46.28,20.47270917
46.3,20.47270917
46.32,20.47270917
46.34,20.45525588
46.36,20.45525588
46.38,20.45525588
46.4,20.45525588
46.42,20.45525588
46.44,20.45525588
46.46,20.45525588
46.48,20.45525588
46.5,20.45525588
46.52,20.45525588
46.54,20.45525588
46.56,20.47270917
46.58,20.47270917
46.6,20.47270917
46.62,20.47270917
46.64,20.47270917
46.66,20.49016246
46.68,20.49016246
46.7,20.49016246
46.72,20.49016246
46.74,20.49016246
46.76,20.50761575
46.78,20.50761575
46.8,20.50761575
46.82,20.52506904
46.84,20.52506904
46.86,20.52506904
46.88,20.54252233
46.9,20.54252233
46.92,20.54252233
46.94,20.55997562
46.96,20.55997562
46.98,20.57742891
47,20.57742891
47.02,20.5948822
47.04,20.5948822
47.06,20.61233549
47.08,20.61233549
47.1,20.62978878
47.12,20.62978878
47.14,20.64724207
47.16,20.64724207
47.18,20.66469536
47.2,20.66469536
47.22,20.68214865
47.24,20.69960194
47.26,20.69960194
47.28,20.71705523
47.3,20.71705523
47.32,20.73450852
47.34,20.73450852
47.36,20.75196181
47.38,20.7694151
47.4,20.7694151
47.42,20.78686839
47.44,20.80432168
47.46,20.80432168
47.48,20.82177497
47.5,20.82177497
47.52,20.83922826
47.54,20.85668155
47.56,20.85668155
47.58,20.87413484
47.6,20.89158813
47.62,20.89158813
47.64,20.90904142
47.66,20.90904142
47.68,20.92649471
47.7,20.943948
47.72,20.943948
47.74,20.96140129
47.76,20.97885458
47.78,20.97885458
47.8,20.99630787
47.82,20.99630787
47.84,21.01376116
47.86,21.01376116
47.88,21.03121445
47.9,21.04866774
47.92,21.04866774
47.94,21.06612103
47.96,21.06612103
47.98,21.08357432
48,21.08357432
48.02,21.10102761
48.04,21.10102761
48.06,21.1184809
48.08,21.1184809
48.1,21.13593419
48.12,21.13593419
48.14,21.15338748
48.16,21.15338748
48.18,21.17084077
48.2,21.17084077
48.22,21.17084077
48.24,21.18829406
48.26,21.18829406
48.28,21.18829406
48.3,21.20574735
48.32,21.20574735
48.34,21.20574735
48.36,21.22320064
48.38,21.22320064
48.4,21.22320064
48.42,21.22320064
48.44,21.24065393
48.46,21.24065393
48.48,21.24065393
48.5,21.24065393
48.52,21.24065393
48.54,21.25810722
48.56,21.25810722
48.58,21.25810722
48.6,21.25810722
48.62,21.25810722
48.64,21.25810722
48.66,21.25810722
48.68,21.25810722
48.7,21.25810722
48.72,21.25810722
48.74,21.25810722
48.76,21.25810722
48.78,21.25810722
48.8,21.25810722
48.82,21.25810722
48.84,21.25810722
48.86,21.25810722
48.88,21.25810722
48.9,21.24065393
48.92,21.24065393
48.94,21.24065393
48.96,21.24065393
48.98,21.24065393
49,21.24065393
49.02,21.24065393
49.04,21.24065393
49.06,21.24065393
49.08,21.24065393
49.1,21.22320064
49.12,21.22320064
49.14,21.22320064
49.16,21.22320064
49.18,21.22320064
49.2,21.22320064
49.22,21.22320064
49.24,21.22320064
49.26,21.22320064
49.28,21.22320064
49.3,21.22320064
49.32,21.22320064
49.34,21.22320064
49.36,21.22320064
49.38,21.22320064
49.4,21.22320064
49.42,21.22320064
49.44,21.22320064
49.46,21.22320064
49.48,21.22320064
49.5,21.22320064
49.52,21.22320064
49.54,21.22320064
49.56,21.22320064
49.58,21.22320064
49.6,21.22320064
49.62,21.22320064
49.64,21.22320064
49.66,21.22320064
49.68,21.22320064
